Time,AI,AF,AD,AL,AA,BD,BC,AM,AN,AY,AZ,AC,AK,AH,AT,AS,AR,AQ,AG,BB,BA,AO,AP,AV,AU,AX,AW
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.004,-1.38E-27,-3.12E-24,-2.43E-22,1.59E-18,2.23E-15,1.13E-13,1.13E-13,3.49E-10,3.49E-10,1.25E-07,1.25E-07,2.08E-10,4.53E-13,1.15E-16,1.13E-04,1.13E-04,3.09E-02,3.09E-02,0.937954,2.23345E-10,2.23345E-10,5.42505E-07,5.42505E-07,2.50137E-05,2.50137E-05,1.26391E-07,1.26391E-07
0.008,1.37E-25,5.31E-22,2.44E-19,3.10E-16,1.51E-13,3.54E-12,3.54E-12,5.50E-09,5.50E-09,9.75E-07,9.75E-07,3.24E-09,1.44E-11,7.84E-15,4.39E-04,4.39E-04,5.95E-02,5.95E-02,0.879858,3.34091E-09,3.34091E-09,4.12049E-06,4.12049E-06,9.36005E-05,9.36005E-05,9.92175E-07,9.92175E-07
0.012,1.14E-23,2.37E-20,6.51E-18,5.26E-15,1.68E-12,2.60E-11,2.60E-11,2.74E-08,2.74E-08,3.20E-06,3.20E-06,1.60E-08,1.07E-10,8.74E-14,9.59E-04,9.59E-04,8.61E-02,8.61E-02,0.825458,1.58323E-08,1.58323E-08,1.32103E-05,1.32103E-05,0.000197142,0.000197142,3.2852E-06,3.2852E-06
0.016,2.04E-22,3.13E-19,6.38E-17,3.84E-14,9.16E-12,1.06E-10,1.06E-10,8.50E-08,8.50E-08,7.39E-06,7.39E-06,4.94E-08,4.40E-10,4.78E-13,1.65E-03,1.65E-03,1.11E-01,1.11E-01,0.774518,4.68693E-08,4.68693E-08,2.97618E-05,2.97618E-05,0.00032829,0.00032829,7.63835E-06,7.63835E-06
0.02,1.87E-21,2.29E-18,3.71E-16,1.78E-13,3.39E-11,3.11E-10,3.11E-10,2.04E-07,2.04E-07,1.41E-05,1.41E-05,1.18E-07,1.31E-09,1.77E-12,2.51E-03,2.51E-03,1.34E-01,1.34E-01,0.726819,1.07244E-07,1.07244E-07,5.52785E-05,5.52785E-05,0.000480791,0.000480791,1.46313E-05,1.46313E-05
0.024,1.13E-20,1.15E-17,1.55E-15,6.20E-13,9.81E-11,7.48E-10,7.48E-10,4.15E-07,4.15E-07,2.36E-05,2.36E-05,2.38E-07,3.20E-09,5.15E-12,3.51E-03,3.51E-03,1.55E-01,1.55E-01,0.682153,2.0854E-07,2.0854E-07,0.000090888,0.000090888,0.000649345,0.000649345,2.47923E-05,2.47923E-05
0.028,5.13E-20,4.50E-17,5.19E-15,1.77E-12,2.40E-10,1.56E-09,1.56E-09,7.56E-07,7.56E-07,3.66E-05,3.66E-05,4.31E-07,6.77E-09,1.26E-11,4.63E-03,4.63E-03,1.74E-01,1.74E-01,0.640326,3.62505E-07,3.62505E-07,0.000137401,0.000137401,0.000829485,0.000829485,3.86003E-05,3.86003E-05
0.032,1.90E-19,1.46E-16,1.47E-14,4.39E-12,5.18E-10,2.94E-09,2.94E-09,1.27E-06,1.27E-06,5.31E-05,5.31E-05,7.17E-07,1.29E-08,2.74E-11,5.88E-03,5.88E-03,1.92E-01,1.92E-01,0.601156,5.80585E-07,5.80585E-07,0.000195362,0.000195362,0.001017435,0.001017435,0.000056487,0.000056487
0.036,5.99E-19,4.11E-16,3.67E-14,9.72E-12,1.02E-09,5.12E-09,5.12E-09,1.99E-06,1.99E-06,7.37E-05,7.37E-05,1.12E-06,2.28E-08,5.40E-11,7.22E-03,7.22E-03,2.09E-01,2.09E-01,0.564476,8.73595E-07,8.73595E-07,0.000265097,0.000265097,0.00121006,0.00121006,7.88395E-05,7.88395E-05
0.04,1.67E-18,1.04E-15,8.30E-14,1.98E-11,1.86E-09,8.38E-09,8.38E-09,2.98E-06,2.98E-06,9.84E-05,9.84E-05,1.67E-06,3.77E-08,9.89E-11,8.66E-03,8.66E-03,2.24E-01,2.24E-01,0.530125,1.25147E-06,1.25147E-06,0.000346749,0.000346749,0.001404725,0.001404725,0.000106002,0.000106002
0.044,4.21E-18,2.38E-15,1.73E-13,3.74E-11,3.19E-09,1.30E-08,1.30E-08,4.28E-06,4.28E-06,1.28E-04,1.28E-04,2.39E-06,5.95E-08,1.71E-10,1.02E-02,1.02E-02,2.39E-01,2.39E-01,0.497955,1.72314E-06,1.72314E-06,0.000440312,0.000440312,0.00159928,0.00159928,0.000138278,0.000138278
0.048,9.76E-18,5.08E-15,3.38E-13,6.68E-11,5.22E-09,1.94E-08,1.94E-08,5.94E-06,5.94E-06,1.61E-04,1.61E-04,3.30E-06,9.00E-08,2.80E-10,1.18E-02,1.18E-02,2.52E-01,2.52E-01,0.467826,2.29641E-06,2.29641E-06,0.000545655,0.000545655,0.00179194,0.00179194,0.000175934,0.000175934
0.052,2.11E-17,1.02E-14,6.24E-13,1.14E-10,8.18E-09,2.80E-08,2.80E-08,8.02E-06,8.02E-06,2.00E-04,2.00E-04,4.44E-06,1.31E-07,4.40E-10,1.34E-02,1.34E-02,2.64E-01,2.64E-01,0.43961,2.97796E-06,2.97796E-06,0.000662555,0.000662555,0.001981275,0.001981275,0.000219199,0.000219199
0.056,4.30E-17,1.93E-14,1.10E-12,1.86E-10,1.24E-08,3.92E-08,3.92E-08,1.06E-05,1.06E-05,2.43E-04,2.43E-04,5.83E-06,1.86E-07,6.68E-10,1.51E-02,1.51E-02,2.75E-01,2.75E-01,0.413182,3.77335E-06,3.77335E-06,0.00079071,0.00079071,0.00216613,0.00216613,0.000268271,0.000268271
0.06,8.34E-17,3.51E-14,1.86E-12,2.92E-10,1.81E-08,5.35E-08,5.35E-08,1.37E-05,1.37E-05,2.92E-04,2.92E-04,7.51E-06,2.58E-07,9.84E-10,1.69E-02,1.69E-02,2.85E-01,2.85E-01,0.38843,4.68701E-06,4.68701E-06,0.000929755,0.000929755,0.0023456,0.0023456,0.000323313,0.000323313
0.064,1.55E-16,6.11E-14,3.03E-12,4.46E-10,2.59E-08,7.13E-08,7.13E-08,1.74E-05,1.74E-05,3.45E-04,3.45E-04,9.49E-06,3.48E-07,1.41E-09,1.87E-02,1.87E-02,2.94E-01,2.94E-01,0.365247,5.7223E-06,5.7223E-06,0.001079285,0.001079285,0.00251898,0.00251898,0.000384463,0.000384463
0.068,2.75E-16,1.03E-13,4.79E-12,6.63E-10,3.62E-08,9.33E-08,9.33E-08,2.17E-05,2.17E-05,4.04E-04,4.04E-04,1.18E-05,4.62E-07,1.98E-09,2.05E-02,2.05E-02,3.03E-01,3.03E-01,0.343533,6.8817E-06,6.8817E-06,0.001238855,0.001238855,0.002685755,0.002685755,0.000451827,0.000451827
0.072,4.74E-16,1.68E-13,7.37E-12,9.61E-10,4.94E-08,1.20E-07,1.20E-07,2.67E-05,2.67E-05,4.67E-04,4.67E-04,1.45E-05,6.02E-07,2.71E-09,2.24E-02,2.24E-02,3.11E-01,3.11E-01,0.323193,8.16665E-06,8.16665E-06,0.001408,0.001408,0.00284555,0.00284555,0.00052549,0.00052549
0.076,7.91E-16,2.66E-13,1.10E-11,1.36E-09,6.63E-08,1.52E-07,1.52E-07,3.25E-05,3.25E-05,5.36E-04,5.36E-04,1.76E-05,7.73E-07,3.65E-09,2.43E-02,2.43E-02,3.18E-01,3.18E-01,0.30414,9.5778E-06,9.5778E-06,0.00158625,0.00158625,0.002998115,0.002998115,0.00060551,0.00060551
0.08,1.28E-15,4.12E-13,1.62E-11,1.90E-09,8.75E-08,1.90E-07,1.90E-07,3.91E-05,3.91E-05,6.10E-04,6.10E-04,2.11E-05,9.78E-07,4.84E-09,2.62E-02,2.62E-02,3.24E-01,3.24E-01,0.286293,1.11151E-05,1.11151E-05,0.001773115,0.001773115,0.003143305,0.003143305,0.00069192,0.00069192
0.084,2.03E-15,6.23E-13,2.33E-11,2.60E-09,1.14E-07,2.34E-07,2.34E-07,4.66E-05,4.66E-05,6.88E-04,6.88E-04,2.51E-05,1.22E-06,6.31E-09,2.81E-02,2.81E-02,3.30E-01,3.30E-01,0.269574,1.27778E-05,1.27778E-05,0.00196811,0.00196811,0.003281065,0.003281065,0.00078475,0.00078475
0.088,3.15E-15,9.24E-13,3.29E-11,3.49E-09,1.46E-07,2.86E-07,2.86E-07,5.50E-05,5.50E-05,7.72E-04,7.72E-04,2.95E-05,1.51E-06,8.13E-09,3.00E-02,3.00E-02,3.36E-01,3.36E-01,0.253912,1.45645E-05,1.45645E-05,0.002170755,0.002170755,0.003411405,0.003411405,0.000883985,0.000883985
0.092,4.77E-15,1.34E-12,4.58E-11,4.64E-09,1.85E-07,3.45E-07,3.45E-07,6.43E-05,6.43E-05,8.60E-04,8.60E-04,3.45E-05,1.85E-06,1.03E-08,3.19E-02,3.19E-02,3.41E-01,3.41E-01,0.239238,1.64734E-05,1.64734E-05,0.002380575,0.002380575,0.00353441,0.00353441,0.00098962,0.00098962
0.096,7.10E-15,1.92E-12,6.26E-11,6.07E-09,2.31E-07,4.12E-07,4.12E-07,7.47E-05,7.47E-05,9.54E-04,9.54E-04,4.00E-05,2.24E-06,1.30E-08,3.39E-02,3.39E-02,3.45E-01,3.45E-01,0.225491,1.85024E-05,1.85024E-05,0.00259711,0.00259711,0.00365019,0.00365019,0.00110161,0.00110161
0.1,1.04E-14,2.71E-12,8.45E-11,7.85E-09,2.87E-07,4.89E-07,4.89E-07,8.62E-05,8.62E-05,1.05E-03,1.05E-03,4.60E-05,2.69E-06,1.62E-08,3.58E-02,3.58E-02,3.49E-01,3.49E-01,0.212611,2.06486E-05,2.06486E-05,0.00281991,0.00281991,0.003758915,0.003758915,0.001219915,0.001219915
0.104,1.49E-14,3.76E-12,1.13E-10,1.00E-08,3.52E-07,5.76E-07,5.76E-07,9.88E-05,9.88E-05,1.15E-03,1.15E-03,5.26E-05,3.21E-06,1.99E-08,3.77E-02,3.77E-02,3.52E-01,3.52E-01,0.200543,2.29093E-05,2.29093E-05,0.003048535,0.003048535,0.00386077,0.00386077,0.00134447,0.00134447
0.108,2.12E-14,5.15E-12,1.48E-10,1.27E-08,4.29E-07,6.72E-07,6.72E-07,1.13E-04,1.13E-04,1.26E-03,1.26E-03,5.98E-05,3.80E-06,2.44E-08,3.96E-02,3.96E-02,3.56E-01,3.56E-01,0.189235,2.52812E-05,2.52812E-05,0.003282575,0.003282575,0.003955975,0.003955975,0.001475205,0.001475205
0.112,2.96E-14,6.97E-12,1.93E-10,1.60E-08,5.18E-07,7.80E-07,7.80E-07,1.28E-04,1.28E-04,1.37E-03,1.37E-03,6.77E-05,4.47E-06,2.95E-08,4.15E-02,4.15E-02,3.58E-01,3.58E-01,0.178639,2.77609E-05,2.77609E-05,0.00352163,0.00352163,0.00404475,0.00404475,0.00161204,0.00161204
0.116,4.09E-14,9.33E-12,2.49E-10,1.98E-08,6.20E-07,8.99E-07,8.99E-07,1.44E-04,1.44E-04,1.49E-03,1.49E-03,7.61E-05,5.22E-06,3.55E-08,4.34E-02,4.34E-02,3.61E-01,3.61E-01,0.168709,3.03451E-05,3.03451E-05,0.00376531,0.00376531,0.00412735,0.00412735,0.00175488,0.00175488
0.12,5.58E-14,1.23E-11,3.18E-10,2.45E-08,7.38E-07,1.03E-06,1.03E-06,1.61E-04,1.61E-04,1.61E-03,1.61E-03,8.53E-05,6.06E-06,4.24E-08,4.52E-02,4.52E-02,3.63E-01,3.63E-01,0.159404,3.30301E-05,3.30301E-05,0.00401326,0.00401326,0.00420402,0.00420402,0.001903625,0.001903625
0.124,7.53E-14,1.62E-11,4.03E-10,2.99E-08,8.72E-07,1.18E-06,1.18E-06,1.80E-04,1.80E-04,1.74E-03,1.74E-03,9.51E-05,7.00E-06,5.03E-08,4.71E-02,4.71E-02,3.65E-01,3.65E-01,0.150683,3.58122E-05,3.58122E-05,0.004265135,0.004265135,0.00427502,0.00427502,0.00205817,0.00205817
0.128,1.01E-13,2.10E-11,5.06E-10,3.64E-08,1.03E-06,1.33E-06,1.33E-06,2.01E-04,2.01E-04,1.86E-03,1.86E-03,0.000105639,8.04E-06,5.94E-08,4.89E-02,4.89E-02,3.67E-01,3.67E-01,0.142509,3.86878E-05,3.86878E-05,0.004520605,0.004520605,0.004340605,0.004340605,0.0022184,0.0022184
0.132,1.33E-13,2.70E-11,6.30E-10,4.39E-08,1.20E-06,1.50E-06,1.50E-06,2.22E-04,2.22E-04,2.00E-03,2.00E-03,0.000116879,9.19E-06,6.96E-08,5.07E-02,5.07E-02,3.68E-01,3.68E-01,0.134847,4.16532E-05,4.16532E-05,0.004779365,0.004779365,0.004401035,0.004401035,0.00238419,0.00238419
0.136,1.74E-13,3.45E-11,7.80E-10,5.26E-08,1.39E-06,1.69E-06,1.69E-06,2.45E-04,2.45E-04,2.13E-03,2.13E-03,0.000128852,1.05E-05,8.12E-08,5.25E-02,5.25E-02,3.69E-01,3.69E-01,0.127665,4.47047E-05,4.47047E-05,0.0050411,0.0050411,0.00445656,0.00445656,0.00255542,0.00255542
0.14,2.27E-13,4.37E-11,9.58E-10,6.27E-08,1.61E-06,1.89E-06,1.89E-06,2.70E-04,2.70E-04,2.27E-03,2.27E-03,0.000141571,1.19E-05,9.42E-08,5.43E-02,5.43E-02,3.70E-01,3.70E-01,0.120933,4.78388E-05,4.78388E-05,0.0053056,0.0053056,0.00450744,0.00450744,0.002731955,0.002731955
0.144,2.92E-13,5.50E-11,1.17E-09,7.43E-08,1.85E-06,2.11E-06,2.11E-06,2.96E-04,2.96E-04,2.42E-03,2.42E-03,0.000155051,1.34E-05,1.09E-07,5.60E-02,5.60E-02,3.71E-01,3.71E-01,0.114621,0.000051052,0.000051052,0.00557255,0.00557255,0.00455392,0.00455392,0.00291367,0.00291367
0.148,3.74E-13,6.87E-11,1.42E-09,8.76E-08,2.12E-06,2.34E-06,2.34E-06,3.24E-04,3.24E-04,2.56E-03,2.56E-03,0.000169304,1.50E-05,1.25E-07,5.78E-02,5.78E-02,3.71E-01,3.71E-01,0.108704,5.43405E-05,5.43405E-05,0.00584175,0.00584175,0.00459623,0.00459623,0.00310042,0.00310042
0.152,4.75E-13,8.52E-11,1.71E-09,1.03E-07,2.42E-06,2.59E-06,2.59E-06,3.53E-04,3.53E-04,2.71E-03,2.71E-03,0.000184343,1.69E-05,1.43E-07,5.95E-02,5.95E-02,3.72E-01,3.72E-01,0.103155,5.77015E-05,5.77015E-05,0.006113,0.006113,0.00463461,0.00463461,0.003292075,0.003292075
0.156,5.99E-13,1.05E-10,2.05E-09,1.20E-07,2.74E-06,2.86E-06,2.86E-06,3.84E-04,3.84E-04,2.87E-03,2.87E-03,0.000200178,1.88E-05,1.63E-07,6.11E-02,6.11E-02,3.72E-01,3.72E-01,0.097952,6.11315E-05,6.11315E-05,0.006386,0.006386,0.00466928,0.00466928,0.003488485,0.003488485
0.16,7.51E-13,1.29E-10,2.45E-09,1.39E-07,3.10E-06,3.15E-06,3.15E-06,4.16E-04,4.16E-04,3.02E-03,3.02E-03,0.000216819,2.10E-05,1.85E-07,6.28E-02,6.28E-02,3.72E-01,3.72E-01,0.0930726,6.46275E-05,6.46275E-05,0.0066606,0.0066606,0.00470046,0.00470046,0.00368951,0.00368951
0.164,9.35E-13,1.57E-10,2.91E-09,1.61E-07,3.50E-06,3.45E-06,3.45E-06,4.50E-04,4.50E-04,3.18E-03,3.18E-03,0.000234276,2.33E-05,2.09E-07,6.44E-02,6.44E-02,3.72E-01,3.72E-01,0.0884962,6.81865E-05,6.81865E-05,0.00693665,0.00693665,0.004728355,0.004728355,0.003895015,0.003895015
0.168,1.16E-12,1.91E-10,3.44E-09,1.86E-07,3.93E-06,3.77E-06,3.77E-06,4.86E-04,4.86E-04,3.34E-03,3.34E-03,0.000252555,2.57E-05,2.36E-07,6.60E-02,6.60E-02,3.72E-01,3.72E-01,0.0842036,0.000071805,0.000071805,0.007214,0.007214,0.004753165,0.004753165,0.004104845,0.004104845
0.172,1.42E-12,2.30E-10,4.05E-09,2.13E-07,4.40E-06,4.11E-06,4.11E-06,5.23E-04,5.23E-04,3.51E-03,3.51E-03,0.000271665,2.84E-05,2.65E-07,6.75E-02,6.75E-02,3.72E-01,3.72E-01,0.0801769,0.000075481,0.000075481,0.00749245,0.00749245,0.004775075,0.004775075,0.004318855,0.004318855
0.176,1.74E-12,2.76E-10,4.74E-09,2.44E-07,4.91E-06,4.47E-06,4.47E-06,5.62E-04,5.62E-04,3.68E-03,3.68E-03,0.000291612,3.13E-05,2.97E-07,6.90E-02,6.90E-02,3.71E-01,3.71E-01,0.0763992,7.92115E-05,7.92115E-05,0.00777185,0.00777185,0.004794275,0.004794275,0.00453691,0.00453691
0.18,2.13E-12,3.30E-10,5.53E-09,2.78E-07,5.46E-06,4.85E-06,4.85E-06,6.03E-04,6.03E-04,3.84E-03,3.84E-03,0.0003124,3.43E-05,3.31E-07,7.05E-02,7.05E-02,3.71E-01,3.71E-01,0.0728547,0.000082994,0.000082994,0.0080521,0.0080521,0.004810935,0.004810935,0.00475886,0.00475886
0.184,2.58E-12,3.93E-10,6.43E-09,3.16E-07,6.06E-06,5.25E-06,5.25E-06,6.46E-04,6.46E-04,4.02E-03,4.02E-03,0.000334036,3.76E-05,3.69E-07,7.20E-02,7.20E-02,3.70E-01,3.70E-01,0.0695286,8.68265E-05,8.68265E-05,0.00833305,0.00833305,0.004825215,0.004825215,0.00498456,0.00498456
0.188,3.11E-12,4.65E-10,7.44E-09,3.57E-07,6.71E-06,5.67E-06,5.67E-06,6.90E-04,6.90E-04,4.19E-03,4.19E-03,0.000356522,4.10E-05,4.10E-07,7.35E-02,7.35E-02,3.69E-01,3.69E-01,0.0664071,9.07065E-05,9.07065E-05,0.00861465,0.00861465,0.00483728,0.00483728,0.00521385,0.00521385
0.192,3.74E-12,5.49E-10,8.59E-09,4.03E-07,7.41E-06,6.11E-06,6.11E-06,7.36E-04,7.36E-04,4.37E-03,4.37E-03,0.000379862,4.47E-05,4.53E-07,7.49E-02,7.49E-02,3.69E-01,3.69E-01,0.0634773,9.46315E-05,9.46315E-05,0.00889675,0.00889675,0.00484727,0.00484727,0.00544665,0.00544665
0.196,4.47E-12,6.46E-10,9.88E-09,4.54E-07,8.15E-06,6.57E-06,6.57E-06,7.83E-04,7.83E-04,4.54E-03,4.54E-03,0.000404059,4.87E-05,5.01E-07,7.63E-02,7.63E-02,3.68E-01,3.68E-01,0.0607269,9.85995E-05,9.85995E-05,0.00917925,0.00917925,0.004855325,0.004855325,0.00568275,0.00568275
0.2,5.32E-12,7.57E-10,1.13E-08,5.09E-07,8.96E-06,7.05E-06,7.05E-06,8.33E-04,8.33E-04,4.72E-03,4.72E-03,0.000429112,5.28E-05,5.52E-07,7.76E-02,7.76E-02,3.67E-01,3.67E-01,0.0581448,0.00010261,0.00010261,0.00946205,0.00946205,0.004861585,0.004861585,0.00592205,0.00592205
0.204,6.32E-12,8.83E-10,1.29E-08,5.70E-07,9.82E-06,7.56E-06,7.56E-06,8.84E-04,8.84E-04,4.90E-03,4.90E-03,0.000455025,5.73E-05,6.07E-07,7.89E-02,7.89E-02,3.66E-01,3.66E-01,0.0557201,0.000106659,0.000106659,0.00974515,0.00974515,0.00486617,0.00486617,0.0061644,0.0061644
0.208,7.47E-12,1.03E-09,1.47E-08,6.36E-07,1.07E-05,8.08E-06,8.08E-06,9.37E-04,9.37E-04,5.09E-03,5.09E-03,0.000481796,6.19E-05,6.65E-07,8.02E-02,8.02E-02,3.65E-01,3.65E-01,0.0534431,0.000110746,0.000110746,0.01002845,0.01002845,0.0048692,0.0048692,0.00640965,0.00640965
0.212,8.80E-12,1.19E-09,1.68E-08,7.08E-07,1.17E-05,8.63E-06,8.63E-06,9.91E-04,9.91E-04,5.27E-03,5.27E-03,0.000509425,6.69E-05,7.28E-07,8.15E-02,8.15E-02,3.64E-01,3.64E-01,0.0513042,0.000114869,0.000114869,0.0103118,0.0103118,0.004870785,0.004870785,0.00665765,0.00665765
0.216,1.03E-11,1.38E-09,1.90E-08,7.87E-07,1.28E-05,9.20E-06,9.20E-06,1.05E-03,1.05E-03,5.46E-03,5.46E-03,0.000537911,7.21E-05,7.95E-07,8.27E-02,8.27E-02,3.63E-01,3.63E-01,0.049295,0.000119028,0.000119028,0.01059525,0.01059525,0.00487103,0.00487103,0.00690835,0.00690835
0.22,1.21E-11,1.59E-09,2.14E-08,8.72E-07,1.39E-05,9.79E-06,9.79E-06,1.11E-03,1.11E-03,5.64E-03,5.64E-03,0.000567253,7.75E-05,8.67E-07,8.40E-02,8.40E-02,3.62E-01,3.62E-01,0.047407,0.000123219,0.000123219,0.0108787,0.0108787,0.004870035,0.004870035,0.00716155,0.00716155
0.224,1.41E-11,1.82E-09,2.42E-08,9.64E-07,1.50E-05,1.04E-05,1.04E-05,1.17E-03,1.17E-03,5.83E-03,5.83E-03,0.000597448,8.33E-05,9.43E-07,8.51E-02,8.51E-02,3.61E-01,3.61E-01,0.0456328,0.000127443,0.000127443,0.01116215,0.01116215,0.004867895,0.004867895,0.00741715,0.00741715
0.228,1.64E-11,2.09E-09,2.72E-08,1.06E-06,1.63E-05,1.10E-05,1.10E-05,1.23E-03,1.23E-03,6.02E-03,6.02E-03,0.000628494,8.93E-05,1.02E-06,8.63E-02,8.63E-02,3.60E-01,3.60E-01,0.0439651,0.000131697,0.000131697,0.01144545,0.01144545,0.0048647,0.0048647,0.00767505,0.00767505
0.232,1.90E-11,2.39E-09,3.05E-08,1.17E-06,1.76E-05,1.17E-05,1.17E-05,1.29E-03,1.29E-03,6.21E-03,6.21E-03,0.000660386,9.57E-05,1.11E-06,8.74E-02,8.74E-02,3.59E-01,3.59E-01,0.0423973,0.000135982,0.000135982,0.01172865,0.01172865,0.00486052,0.00486052,0.00793505,0.00793505
0.236,2.19E-11,2.72E-09,3.41E-08,1.29E-06,1.90E-05,1.24E-05,1.24E-05,1.36E-03,1.36E-03,6.40E-03,6.40E-03,0.000693121,0.00010231,1.20E-06,8.85E-02,8.85E-02,3.58E-01,3.58E-01,0.040923,0.000140295,0.000140295,0.01201175,0.01201175,0.004855445,0.004855445,0.00819705,0.00819705
0.24,2.53E-11,3.09E-09,3.80E-08,1.41E-06,2.05E-05,1.31E-05,1.31E-05,1.42E-03,1.42E-03,6.59E-03,6.59E-03,0.000726696,0.000109265,1.30E-06,8.96E-02,8.96E-02,3.56E-01,3.56E-01,0.0395364,0.000144635,0.000144635,0.0122946,0.0122946,0.004849545,0.004849545,0.008461,0.008461
0.244,2.90E-11,3.51E-09,4.24E-08,1.55E-06,2.20E-05,1.38E-05,1.38E-05,1.49E-03,1.49E-03,6.78E-03,6.78E-03,0.000761104,0.000116537,1.40E-06,9.07E-02,9.07E-02,3.55E-01,3.55E-01,0.0382319,0.000149003,0.000149003,0.0125773,0.0125773,0.00484288,0.00484288,0.00872675,0.00872675
0.248,3.33E-11,3.97E-09,4.71E-08,1.69E-06,2.36E-05,1.46E-05,1.46E-05,1.56E-03,1.56E-03,6.98E-03,6.98E-03,0.00079634,0.000124133,1.51E-06,9.17E-02,9.17E-02,3.54E-01,3.54E-01,0.0370044,0.000153396,0.000153396,0.0128597,0.0128597,0.00483552,0.00483552,0.00899415,0.00899415
0.252,3.80E-11,4.48E-09,5.23E-08,1.84E-06,2.54E-05,1.53E-05,1.53E-05,1.63E-03,1.63E-03,7.17E-03,7.17E-03,0.0008324,0.00013206,1.62E-06,9.27E-02,9.27E-02,3.53E-01,3.53E-01,0.0358491,0.000157814,0.000157814,0.0131419,0.0131419,0.004827525,0.004827525,0.00926315,0.00926315
0.256,4.34E-11,5.05E-09,5.79E-08,2.01E-06,2.72E-05,1.61E-05,1.61E-05,1.71E-03,1.71E-03,7.36E-03,7.36E-03,0.000869276,0.000140323,1.74E-06,9.37E-02,9.37E-02,3.51E-01,3.51E-01,0.0347614,0.000162256,0.000162256,0.0134238,0.0134238,0.00481895,0.00481895,0.0095336,0.0095336
0.26,4.94E-11,5.67E-09,6.40E-08,2.18E-06,2.90E-05,1.69E-05,1.69E-05,1.78E-03,1.78E-03,7.56E-03,7.56E-03,0.000906963,0.00014893,1.87E-06,9.46E-02,9.46E-02,3.50E-01,3.50E-01,0.0337372,0.000166722,0.000166722,0.0137054,0.0137054,0.004809845,0.004809845,0.0098054,0.0098054
0.264,5.60E-11,6.36E-09,7.06E-08,2.37E-06,3.10E-05,1.78E-05,1.78E-05,1.86E-03,1.86E-03,7.75E-03,7.75E-03,0.000945454,0.000157886,2.00E-06,9.56E-02,9.56E-02,3.49E-01,3.49E-01,0.0327724,0.000171211,0.000171211,0.01398675,0.01398675,0.00480026,0.00480026,0.01007845,0.01007845
0.268,6.34E-11,7.12E-09,7.77E-08,2.57E-06,3.31E-05,1.86E-05,1.86E-05,1.94E-03,1.94E-03,7.95E-03,7.95E-03,0.000984741,0.000167197,2.14E-06,9.65E-02,9.65E-02,3.48E-01,3.48E-01,0.0318633,0.000175722,0.000175722,0.01426775,0.01426775,0.00479024,0.00479024,0.0103527,0.0103527
0.272,7.17E-11,7.96E-09,8.54E-08,2.78E-06,3.53E-05,1.95E-05,1.95E-05,2.02E-03,2.02E-03,8.14E-03,8.14E-03,0.00102482,0.00017687,2.28E-06,9.73E-02,9.73E-02,3.46E-01,3.46E-01,0.0310064,0.000180255,0.000180255,0.01454845,0.01454845,0.00477983,0.00477983,0.01062795,0.01062795
0.276,8.08E-11,8.88E-09,9.38E-08,3.00E-06,3.75E-05,2.04E-05,2.04E-05,2.10E-03,2.10E-03,8.34E-03,8.34E-03,0.00106567,0.00018691,2.44E-06,9.82E-02,9.82E-02,3.45E-01,3.45E-01,0.0301986,0.000184809,0.000184809,0.0148288,0.0148288,0.004769065,0.004769065,0.0109042,0.0109042
0.28,9.10E-11,9.88E-09,1.03E-07,3.24E-06,3.99E-05,2.14E-05,2.14E-05,2.18E-03,2.18E-03,8.53E-03,8.53E-03,0.0011073,0.000197323,2.59E-06,9.90E-02,9.90E-02,3.44E-01,3.44E-01,0.0294366,0.000189383,0.000189383,0.0151088,0.0151088,0.004757985,0.004757985,0.0111813,0.0111813
0.284,1.02E-10,1.10E-08,1.12E-07,3.49E-06,4.24E-05,2.23E-05,2.23E-05,2.27E-03,2.27E-03,8.73E-03,8.73E-03,0.0011497,0.000208114,2.76E-06,9.98E-02,9.98E-02,3.42E-01,3.42E-01,0.0287178,0.000193978,0.000193978,0.0153885,0.0153885,0.00474662,0.00474662,0.0114592,0.0114592
0.288,1.15E-10,1.22E-08,1.23E-07,3.76E-06,4.49E-05,2.33E-05,2.33E-05,2.35E-03,2.35E-03,8.92E-03,8.92E-03,0.00119285,0.000219289,2.94E-06,1.01E-01,1.01E-01,3.41E-01,3.41E-01,0.0280393,0.000198592,0.000198592,0.0156678,0.0156678,0.004735005,0.004735005,0.0117378,0.0117378
0.292,1.28E-10,1.35E-08,1.34E-07,4.04E-06,4.76E-05,2.43E-05,2.43E-05,2.44E-03,2.44E-03,9.12E-03,9.12E-03,0.00123675,0.000230854,3.12E-06,1.01E-01,1.01E-01,3.40E-01,3.40E-01,0.0273987,0.000203226,0.000203226,0.0159468,0.0159468,0.004723175,0.004723175,0.012017,0.012017
0.296,1.43E-10,1.49E-08,1.46E-07,4.34E-06,5.04E-05,2.53E-05,2.53E-05,2.53E-03,2.53E-03,9.31E-03,9.31E-03,0.00128139,0.000242813,3.31E-06,1.02E-01,1.02E-01,3.38E-01,3.38E-01,0.0267937,0.000207878,0.000207878,0.01622545,0.01622545,0.00471115,0.00471115,0.0122967,0.0122967
